Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2030,305710146.1883265,223379409.38953474,117600562.29291242,109080626.57677956,2088600.0,2318900.0,73341457.31863451,1280000.0,1398,111169226.57677956,74621457.31863451,1
2031,311395689.0628962,218782480.6520208,119797521.04089375,113746869.48574293,2097600.0,2218100.0,72415598.53625955,1120000.0,1328,115844469.48574293,73535598.53625955,1
2032,309263217.89434093,208927148.74518228,118728453.6857374,109387866.340538,2097600.0,2378900.0,75390397.86806555,1280000.0,1373,111485466.340538,76670397.86806555,1
2033,301355536.2816394,195754809.98957548,117881433.91326028,107082592.26892225,2150800.0,2261200.0,71019510.09945685,960000.0,1365,109233392.26892225,71979510.09945685,1
2034,300623900.69859964,187768801.40959582,118112846.1521572,107308360.08031343,2150800.0,2142500.0,69309394.46612899,1600000.0,1279,109459160.08031343,70909394.46612899,1
2035,306124147.51700914,183850230.13878515,118139991.70307195,106306016.36136311,2150800.0,2364000.0,75883339.45257407,1280000.0,1346,108456816.36136311,77163339.45257407,1
2036,304738041.415816,175978625.70555323,116677545.62395781,107432455.46976483,2150800.0,2314100.0,75203140.32209335,960000.0,1342,109583255.46976483,76163140.32209335,1
2037,301435848.4974493,167376626.51589024,117579546.52219617,107204590.46936442,2150800.0,2262300.0,71278611.5058887,960000.0,1312,109355390.46936442,72238611.5058887,1
2038,304232087.83178985,162431998.9993655,117941344.45735234,106235917.79975949,2188800.0,2320100.0,74265925.57467799,1280000.0,1317,108424717.79975949,75545925.57467799,1
2039,296242335.64435554,152082889.4084524,116147880.82299802,105775021.06455465,2197800.0,2203400.0,68638233.75680286,1280000.0,1307,107972821.06455465,69918233.75680286,1
2022,295066791.2110373,295066791.2110373,119689780.70615485,107410402.60076527,1981300.0,1830200.0,63035107.90411714,1120000.0,1101,109391702.60076527,64155107.90411714,2
2023,303427694.275116,291757398.34145766,119489821.13929528,107176088.99201544,1989400.0,2132000.0,71840384.14380531,800000.0,1247,109165488.99201544,72640384.14380531,2
2024,306511529.94351065,283387139.3708493,118187321.07461913,111480429.63493015,1998400.0,2149000.0,72056379.23396137,640000.0,1339,113478829.63493015,72696379.23396137,2
2025,295554532.8789004,262746903.51802564,116593199.88677497,103936588.34628043,2026400.0,2189800.0,69688544.64584498,1120000.0,1356,105962988.34628043,70808544.64584498,2
2026,297811240.28965086,254570296.33535427,118451524.57459298,102845650.87653132,2045400.0,2291700.0,71216964.83852656,960000.0,1405,104891050.87653132,72176964.83852656,2
2027,297885114.6121694,244839850.39985827,117676670.1434683,104755583.32447986,2054400.0,2116300.0,70322161.14422125,960000.0,1353,106809983.32447986,71282161.14422125,2
2028,294918528.482362,233078396.96657038,116015309.8754292,101732492.35809964,2098600.0,2292600.0,71819526.24883316,960000.0,1395,103831092.35809964,72779526.24883316,2
2029,308534154.7907643,234460600.2067445,117745075.98139971,109414614.79862902,2098600.0,2399900.0,75595964.01073554,1280000.0,1352,111513214.79862902,76875964.01073554,2
2030,295842605.072,216169293.74838066,115965972.35817751,103174081.03283772,2106700.0,2227600.0,71248251.68098478,1120000.0,1370,105280781.03283772,72368251.68098478,2
2031,294044215.12791884,206591565.2225639,116737906.82160194,101232362.77754,2125700.0,2311000.0,70197245.52877691,1440000.0,1331,103358062.77754,71637245.52877691,2
2032,308658291.78054583,208518482.33791527,120593518.58173987,108176409.02698311,2125700.0,2318800.0,74323864.17182286,1120000.0,1286,110302109.02698311,75443864.17182286,2
2033,297004661.77790815,192928564.8763269,116638182.4073556,103092336.1058044,2153700.0,2325300.0,71675143.26474816,1120000.0,1342,105246036.1058044,72795143.26474816,2
2034,313561640.72574943,195849675.65878755,121490351.93421029,113664297.97053577,2153700.0,2199400.0,72773890.82100339,1280000.0,1327,115817997.97053577,74053890.82100339,2
2035,304562501.516806,182912346.01934728,117717471.92948379,103407456.25804427,2162700.0,2439800.0,77395073.32927792,1440000.0,1320,105570156.25804427,78835073.32927792,2
2036,301162849.52234507,173914041.47076726,118213785.65984294,103118022.14738958,2162700.0,2275000.0,74273341.71511254,1120000.0,1340,105280722.14738958,75393341.71511254,2
